,t5-small-finetuned,t5-small,t5-base
rouge,"{'rouge1': 0.14926486274796597, 'rouge2': 0.048750562850322504, 'rougeL': 0.12811436547747312, 'rougeLsum': 0.1269018782271974}","{'rouge1': 0.17416097478483022, 'rouge2': 0.06090925164200903, 'rougeL': 0.14622466190933422, 'rougeLsum': 0.14552235312954198}","{'rouge1': 0.17704215935638012, 'rouge2': 0.05770415182902655, 'rougeL': 0.1437795393929826, 'rougeLsum': 0.14391100654438138}"
bleu,"{'bleu': 0.021649282366077858, 'precisions': [0.0887943971985993, 0.029927760577915376, 0.012516644474034621, 0.006604292790313704], 'brevity_penalty': 1.0, 'length_ratio': 4.0588832487309645, 'translation_length': 3998, 'reference_length': 985}","{'bleu': 0.024443221851953585, 'precisions': [0.1135042735042735, 0.038530146271851584, 0.014919806042521447, 0.005470887065259867], 'brevity_penalty': 1.0, 'length_ratio': 2.969543147208122, 'translation_length': 2925, 'reference_length': 985}","{'bleu': 0.020017147677267606, 'precisions': [0.10313778990450205, 0.03217612193056731, 0.01140017538731365, 0.004243710215216732], 'brevity_penalty': 1.0, 'length_ratio': 3.720812182741117, 'translation_length': 3665, 'reference_length': 985}"
